         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4048    0.009    0.000    0.112    0.000 <frozen importlib._bootstrap>:416(__enter__)
     4180    0.111    0.000    0.111    0.000 {built-in method builtins.compile}
   360142    0.071    0.000    0.111    0.000 inspect.py:298(ismodule)
        1    0.000    0.000    0.110    0.110 _invoke_quant.py:1(<module>)
        1    0.000    0.000    0.109    0.109 rcsetup.py:1(<module>)
        1    0.003    0.003    0.109    0.109 trace_rules.py:3002(get_torch_obj_rule_map)
  682/597    0.002    0.000    0.108    0.000 _generate_schema.py:2202(inner_handler)
       23    0.001    0.000    0.107    0.005 base.py:1(<module>)
     2381    0.038    0.000    0.107    0.000 inspect.py:2397(_signature_from_function)
        2    0.000    0.000    0.106    0.053 module.py:1(<module>)
        1    0.000    0.000    0.106    0.106 _axes.py:1(<module>)
        6    0.105    0.018    0.105    0.018 {built-in method torch._foreach_sqrt}
    30/11    0.000    0.000    0.105    0.010 _ops.py:264(__init__)
     2767    0.004    0.000    0.104    0.000 trace_rules.py:3036(load_object)
        1    0.000    0.000    0.104    0.104 __init__.py:256(_check_capability)
        5    0.000    0.000    0.104    0.021 __init__.py:1045(device_count)
        5    0.000    0.000    0.104    0.021 __init__.py:987(_device_count_nvml)
        5    0.090    0.018    0.104    0.021 __init__.py:841(_raw_device_count_nvml)
        1    0.000    0.000    0.103    0.103 data_types.py:1(<module>)
        1    0.000    0.000    0.103    0.103 _debug_mode.py:1(<module>)
      8/1    0.000    0.000    0.103    0.103 custom_ops.py:148(inner)
     10/1    0.000    0.000    0.103    0.103 custom_ops.py:338(inner)
    10010    0.103    0.000    0.103    0.000 {built-in method torch.from_numpy}
      227    0.001    0.000    0.102    0.000 artist.py:1413(__init__)
      227    0.030    0.000    0.100    0.000 artist.py:1433(get_aliases)
     3906    0.018    0.000    0.097    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.097    0.097 thread_create_params.py:1(<module>)
 1188/658    0.010    0.000    0.095    0.000 _generate_schema.py:1030(match_type)
563118/558569    0.093    0.000    0.094    0.000 {built-in method builtins.len}
     8712    0.017    0.000    0.093    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.092    0.092 settings_static.py:1(<module>)
        1    0.000    0.000    0.092    0.092 wandb_init.py:1268(init)
        1    0.000    0.000    0.092    0.092 patches.py:1(<module>)
      234    0.002    0.000    0.092    0.000 storage.py:261(cpu)
     2201    0.010    0.000    0.091    0.000 _ops.py:1143(__getattr__)
        1    0.000    0.000    0.091    0.091 pycode.py:1(<module>)
        3    0.000    0.000    0.091    0.030 registration.py:1(<module>)
      740    0.004    0.000    0.090    0.000 dataclasses.py:627(_repr_fn)
